"num","artmonthyear","counts","artmont","artyear","artyearnum","artmontnum","sortnum","yearmonth"
"1","Jan   1851",0,"Jan","1851",1851,1,1851.01,"1851.01"
"166","Feb   1851",0,"Feb","1851",1851,2,1851.02,"1851.02"
"331","Mar   1851",0,"Mar","1851",1851,3,1851.03,"1851.03"
"496","Apr   1851",0,"Apr","1851",1851,4,1851.04,"1851.04"
"661","May   1851",0,"May","1851",1851,5,1851.05,"1851.05"
"826","Jun   1851",0,"Jun","1851",1851,6,1851.06,"1851.06"
"991","Jul   1851",0,"Jul","1851",1851,7,1851.07,"1851.07"
"1156","Aug   1851",0,"Aug","1851",1851,8,1851.08,"1851.08"
"1321","Sep   1851",2,"Sep","1851",1851,9,1851.09,"1851.09"
"1486","Oct   1851",1,"Oct","1851",1851,10,1851.1,"1851.1"
"1651","Nov   1851",2,"Nov","1851",1851,11,1851.11,"1851.11"
"1816","Dec   1851",1,"Dec","1851",1851,12,1851.12,"1851.12"
"2","Jan   1852",4,"Jan","1852",1852,1,1852.01,"1852.01"
"167","Feb   1852",1,"Feb","1852",1852,2,1852.02,"1852.02"
"332","Mar   1852",1,"Mar","1852",1852,3,1852.03,"1852.03"
"497","Apr   1852",2,"Apr","1852",1852,4,1852.04,"1852.04"
"662","May   1852",2,"May","1852",1852,5,1852.05,"1852.05"
"827","Jun   1852",0,"Jun","1852",1852,6,1852.06,"1852.06"
"992","Jul   1852",1,"Jul","1852",1852,7,1852.07,"1852.07"
"1157","Aug   1852",1,"Aug","1852",1852,8,1852.08,"1852.08"
"1322","Sep   1852",2,"Sep","1852",1852,9,1852.09,"1852.09"
"1487","Oct   1852",2,"Oct","1852",1852,10,1852.1,"1852.1"
"1652","Nov   1852",4,"Nov","1852",1852,11,1852.11,"1852.11"
"1817","Dec   1852",1,"Dec","1852",1852,12,1852.12,"1852.12"
"3","Jan   1853",1,"Jan","1853",1853,1,1853.01,"1853.01"
"168","Feb   1853",2,"Feb","1853",1853,2,1853.02,"1853.02"
"333","Mar   1853",3,"Mar","1853",1853,3,1853.03,"1853.03"
"498","Apr   1853",4,"Apr","1853",1853,4,1853.04,"1853.04"
"663","May   1853",2,"May","1853",1853,5,1853.05,"1853.05"
"828","Jun   1853",0,"Jun","1853",1853,6,1853.06,"1853.06"
"993","Jul   1853",2,"Jul","1853",1853,7,1853.07,"1853.07"
"1158","Aug   1853",0,"Aug","1853",1853,8,1853.08,"1853.08"
"1323","Sep   1853",1,"Sep","1853",1853,9,1853.09,"1853.09"
"1488","Oct   1853",0,"Oct","1853",1853,10,1853.1,"1853.1"
"1653","Nov   1853",1,"Nov","1853",1853,11,1853.11,"1853.11"
"1818","Dec   1853",0,"Dec","1853",1853,12,1853.12,"1853.12"
"4","Jan   1854",0,"Jan","1854",1854,1,1854.01,"1854.01"
"169","Feb   1854",1,"Feb","1854",1854,2,1854.02,"1854.02"
"334","Mar   1854",1,"Mar","1854",1854,3,1854.03,"1854.03"
"499","Apr   1854",0,"Apr","1854",1854,4,1854.04,"1854.04"
"664","May   1854",0,"May","1854",1854,5,1854.05,"1854.05"
"829","Jun   1854",3,"Jun","1854",1854,6,1854.06,"1854.06"
"994","Jul   1854",1,"Jul","1854",1854,7,1854.07,"1854.07"
"1159","Aug   1854",0,"Aug","1854",1854,8,1854.08,"1854.08"
"1324","Sep   1854",0,"Sep","1854",1854,9,1854.09,"1854.09"
"1489","Oct   1854",0,"Oct","1854",1854,10,1854.1,"1854.1"
"1654","Nov   1854",0,"Nov","1854",1854,11,1854.11,"1854.11"
"1819","Dec   1854",0,"Dec","1854",1854,12,1854.12,"1854.12"
"5","Jan   1855",2,"Jan","1855",1855,1,1855.01,"1855.01"
"170","Feb   1855",3,"Feb","1855",1855,2,1855.02,"1855.02"
"335","Mar   1855",1,"Mar","1855",1855,3,1855.03,"1855.03"
"500","Apr   1855",0,"Apr","1855",1855,4,1855.04,"1855.04"
"665","May   1855",3,"May","1855",1855,5,1855.05,"1855.05"
"830","Jun   1855",1,"Jun","1855",1855,6,1855.06,"1855.06"
"995","Jul   1855",1,"Jul","1855",1855,7,1855.07,"1855.07"
"1160","Aug   1855",2,"Aug","1855",1855,8,1855.08,"1855.08"
"1325","Sep   1855",0,"Sep","1855",1855,9,1855.09,"1855.09"
"1490","Oct   1855",0,"Oct","1855",1855,10,1855.1,"1855.1"
"1655","Nov   1855",3,"Nov","1855",1855,11,1855.11,"1855.11"
"1820","Dec   1855",1,"Dec","1855",1855,12,1855.12,"1855.12"
"6","Jan   1856",3,"Jan","1856",1856,1,1856.01,"1856.01"
"171","Feb   1856",2,"Feb","1856",1856,2,1856.02,"1856.02"
"336","Mar   1856",2,"Mar","1856",1856,3,1856.03,"1856.03"
"501","Apr   1856",0,"Apr","1856",1856,4,1856.04,"1856.04"
"666","May   1856",0,"May","1856",1856,5,1856.05,"1856.05"
"831","Jun   1856",2,"Jun","1856",1856,6,1856.06,"1856.06"
"996","Jul   1856",0,"Jul","1856",1856,7,1856.07,"1856.07"
"1161","Aug   1856",1,"Aug","1856",1856,8,1856.08,"1856.08"
"1326","Sep   1856",1,"Sep","1856",1856,9,1856.09,"1856.09"
"1491","Oct   1856",0,"Oct","1856",1856,10,1856.1,"1856.1"
"1656","Nov   1856",2,"Nov","1856",1856,11,1856.11,"1856.11"
"1821","Dec   1856",0,"Dec","1856",1856,12,1856.12,"1856.12"
"7","Jan   1857",0,"Jan","1857",1857,1,1857.01,"1857.01"
"172","Feb   1857",1,"Feb","1857",1857,2,1857.02,"1857.02"
"337","Mar   1857",1,"Mar","1857",1857,3,1857.03,"1857.03"
